nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V180260,2017-04-23 09:30:00,SPARTA RANST 2,RIVIERA 4,,,, ,Sparta Ranst
V180203,2017-04-23 11:00:00,KWIK 2,RIVIERA 3,,,, ,Kwik
V190271,2017-04-30 00:00:00,RIVIERA 5,VRIJ,,,, ,
V190260,2017-04-30 10:45:00,RIVIERA 4,BOECKENBERG 5,,,, ,Riviera
V190201,2017-04-30 11:00:00,RIVIERA 3,ASKC 3,,,, ,Riviera
V190141,2017-04-30 12:40:00,RIVIERA 2,ASKC 2,,,, ,Riviera
V190051,2017-04-30 14:00:00,RIVIERA RES,ASKC RES,,,, ,Riviera
V190031,2017-04-30 15:30:00,RIVIERA,ASKC,,,, ,Riviera
V200260,2017-05-07 00:00:00,VRIJ,RIVIERA 4,,,, ,
V200201,2017-05-07 09:45:00,VOORWAARTS 3,RIVIERA 3,,,, ,Voorwaarts
V200271,2017-05-07 11:00:00,KCBJ 3,RIVIERA 5,,,, ,KCBJ
V200141,2017-05-07 12:40:00,VOORWAARTS 2,RIVIERA 2,,,, ,Voorwaarts
V200051,2017-05-07 14:00:00,VOORWAARTS RES,RIVIERA RES,,,, ,Voorwaarts
V200031,2017-05-07 15:30:00,VOORWAARTS,RIVIERA,,,, ,Voorwaarts
V210273,2017-05-14 09:30:00,RIVIERA 5,kWIK 5,,,, ,Riviera
V210262,2017-05-14 10:45:00,RIVIERA 4,KWIK 4,,,, ,Riviera
V210201,2017-05-14 11:40:00,BORGERHOUT/GW 3,RIVIERA 3,,,, ,Borgerhout/GW
V210141,2017-05-14 12:40:00,PUTSE 2,RIVIERA 2,,,, ,Putse
V210051,2017-05-14 14:00:00,PUTSE RES,RIVIERA RES,,,, ,Putse
V210031,2017-05-14 15:30:00,PUTSE,RIVIERA,,,, ,Putse
